id,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.01,Premium,G,VS1,62.7,58.0,6.36,6.31,3.97,8.754
1,0.6,Good,G,VS2,64.3,57.0,5.31,5.38,3.43,7.492
2,1.6,Premium,H,SI2,59.4,59.0,7.55,7.6,4.5,9.01
3,0.3,Very Good,J,VS1,63.5,58.0,4.27,4.24,2.7,6.227
4,1.0,Very Good,F,SI2,62.8,57.0,6.37,6.44,4.02,8.314
5,0.53,Ideal,E,VS2,61.9,55.0,5.19,5.22,3.22,7.451
6,0.31,Ideal,G,IF,61.9,53.0,4.36,4.39,2.71,6.792
7,1.0,Premium,J,VS2,60.3,58.0,6.49,6.44,3.9,8.24
8,1.01,Very Good,F,VS1,59.9,59.0,6.52,6.57,3.92,8.828
9,1.22,Ideal,J,VS1,60.8,57.0,6.85,6.89,4.18,8.613
10,0.39,Very Good,G,SI1,61.7,57.0,4.77,4.7,2.92,6.528
11,1.64,Good,I,SI1,57.9,61.0,7.78,7.74,4.49,9.22
12,0.7,Premium,F,SI1,62.1,59.0,5.68,5.72,3.54,7.694
13,0.36,Ideal,G,VVS2,61.8,54.0,4.59,4.61,2.84,6.677
14,1.19,Premium,I,SI1,62.2,58.0,6.73,6.77,4.2,8.472
15,0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,7.822
16,0.56,Ideal,G,VS2,61.2,56.0,5.29,5.33,3.25,7.365
17,0.77,Very Good,H,VS1,63.3,57.0,5.79,5.83,3.68,7.982
18,1.21,Premium,G,VS2,62.2,60.0,6.79,6.75,4.21,8.937
19,0.71,Good,J,VS1,63.3,55.0,5.62,5.66,3.57,7.54
20,0.9,Very Good,G,SI1,63.0,57.0,6.13,6.19,3.88,8.211
21,1.05,Ideal,G,IF,62.5,56.0,6.48,6.52,4.06,9.088
22,0.4,Premium,E,VS1,60.5,61.0,4.74,4.72,2.86,7.026
23,0.31,Premium,I,VVS2,62.2,57.0,4.37,4.34,2.71,6.548
24,1.0,Premium,E,VS1,63.0,60.0,6.38,6.32,4.0,8.867
25,2.01,Very Good,H,SI2,63.4,57.0,8.0,7.93,5.05,9.687
26,1.68,Ideal,H,SI1,61.9,56.0,7.63,7.72,4.75,9.501
27,0.27,Ideal,G,IF,61.6,57.0,4.18,4.21,2.58,6.339
28,0.25,Very Good,E,VVS2,62.2,58.0,4.03,4.11,2.53,6.306
29,0.56,Ideal,G,VS2,61.9,55.0,5.28,5.32,3.28,7.365
30,0.4,Ideal,J,VS1,62.2,54.3,4.73,4.75,2.95,6.489
31,0.57,Ideal,E,VVS2,62.1,54.6,5.31,5.35,3.31,7.801
32,0.84,Very Good,E,SI1,63.4,55.0,6.0,5.95,3.79,7.942
33,0.77,Very Good,H,VS1,62.8,58.0,5.75,5.78,3.62,7.993
34,0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,6.958
35,1.52,Ideal,G,VVS1,62.4,55.0,7.39,7.3,4.58,9.687
36,0.3,Premium,G,VS1,60.0,60.0,4.3,4.33,2.59,6.405
37,2.13,Premium,I,SI2,59.8,58.0,8.43,8.37,5.02,9.471
38,1.5,Good,H,SI1,64.9,57.0,7.08,7.15,4.62,9.001
39,0.41,Premium,G,VS2,62.9,59.0,4.75,4.7,2.97,6.967
40,1.02,Good,J,SI2,63.4,56.0,6.36,6.42,4.05,8.17
41,0.38,Very Good,H,VVS1,60.0,57.0,4.75,4.79,2.86,6.882
42,0.7,Ideal,G,SI1,60.7,55.0,5.76,5.8,3.51,7.917
43,0.91,Ideal,I,VS1,62.1,57.0,6.2,6.23,3.86,8.27
44,0.37,Very Good,G,VS1,58.4,59.0,4.76,4.69,2.76,6.488
45,2.28,Good,J,SI2,63.6,57.0,8.37,8.32,5.31,9.113
46,1.01,Premium,G,VS1,60.7,58.0,6.49,6.52,3.95,8.844
47,2.56,Ideal,J,SI1,61.4,58.0,8.73,8.76,5.37,9.784
48,0.3,Premium,D,SI1,62.6,59.0,4.27,4.23,2.66,6.564
49,0.33,Very Good,G,VS1,60.8,57.0,4.5,4.51,2.74,6.524
50,2.03,Premium,J,SI2,62.7,59.0,8.02,8.08,5.05,9.415
51,0.3,Premium,D,SI1,63.0,58.0,4.27,4.24,2.68,6.564
52,0.5,Ideal,F,VVS2,60.5,56.0,5.15,5.09,3.1,7.701
53,0.7,Very Good,G,SI1,60.7,58.0,5.7,5.73,3.47,7.637
54,0.5,Ideal,G,IF,61.5,56.0,5.11,5.14,3.15,7.652
55,0.31,Ideal,E,VS2,61.8,56.0,4.34,4.36,2.69,6.522
56,0.4,Premium,H,VS1,62.6,58.0,4.66,4.73,2.94,6.693
57,0.5,Good,F,SI1,57.9,62.0,5.18,5.21,3.01,7.043
58,2.01,Premium,I,VS1,61.5,62.0,8.07,7.94,4.92,9.647
59,1.12,Premium,G,VS1,58.4,58.0,6.87,6.84,4.0,8.901
60,1.01,Premium,F,VVS2,60.4,59.0,6.49,6.45,3.91,9.13
61,1.12,Ideal,E,VS2,61.9,56.0,6.65,6.68,4.13,9.181
62,1.03,Ideal,D,SI1,61.6,55.0,6.49,6.53,4.01,8.666
63,0.3,Ideal,G,IF,61.0,57.0,4.31,4.34,2.64,6.76
64,0.31,Ideal,F,IF,62.1,55.0,4.34,4.35,2.7,6.887
65,0.51,Ideal,D,VS2,61.9,57.0,5.09,5.15,3.17,7.488
66,1.09,Very Good,F,VVS1,61.4,58.0,6.6,6.65,4.07,9.256
67,0.8,Ideal,F,VS2,61.2,58.0,5.99,6.03,3.68,8.22
68,1.52,Premium,D,SI2,59.8,60.0,7.5,7.42,4.46,9.271
69,1.04,Good,F,SI2,64.2,56.0,6.39,6.36,4.09,8.371
70,1.02,Very Good,E,SI1,60.5,63.0,6.48,6.54,3.94,8.479
71,0.4,Ideal,F,SI2,61.5,56.0,4.75,4.78,2.93,6.639
72,0.92,Premium,G,SI2,59.4,60.0,6.34,6.31,3.76,8.273
73,1.01,Very Good,D,SI2,62.9,59.0,6.29,6.37,3.98,8.31
74,0.35,Ideal,D,SI2,62.2,56.0,4.55,4.52,2.82,6.506
75,1.0,Very Good,G,VVS1,62.3,56.0,6.29,6.4,3.95,8.924
76,1.01,Premium,H,SI1,59.2,58.0,6.58,6.56,3.89,8.137
77,1.12,Ideal,G,VVS2,61.6,55.0,6.68,6.74,4.13,9.192
78,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,8.307
79,1.0,Very Good,F,VS1,58.4,63.0,6.58,6.47,3.81,8.703
80,0.51,Good,G,VVS2,63.1,58.0,5.07,5.11,3.21,7.536
81,0.32,Ideal,H,SI1,61.9,54.0,4.39,4.43,2.73,6.304
82,0.7,Ideal,H,VS2,61.2,57.0,5.73,5.77,3.52,8.054
83,1.0,Premium,E,VS2,61.5,58.0,6.39,6.42,3.94,8.795
84,0.46,Very Good,G,VVS1,61.7,60.0,4.94,4.98,3.06,7.253
85,0.7,Premium,F,SI1,62.1,58.0,5.7,5.64,3.52,7.835
86,0.3,Ideal,E,SI1,62.4,57.0,4.27,4.29,2.67,6.213
87,2.0,Fair,H,SI2,68.7,55.0,7.9,7.67,5.35,9.164
88,0.61,Ideal,E,VS2,61.7,56.0,5.46,5.43,3.36,7.708
89,2.0,Premium,H,SI2,60.7,60.0,8.07,8.11,4.91,9.636
90,0.28,Very Good,F,VS1,62.1,59.0,4.16,4.21,2.6,6.188
91,0.53,Ideal,I,VS2,62.1,54.0,5.2,5.24,3.24,6.953
92,1.0,Premium,F,SI1,59.8,59.0,6.49,6.55,3.9,8.529
93,0.64,Premium,E,SI1,61.2,62.0,5.56,5.52,3.39,7.428
94,0.7,Very Good,E,SI2,62.0,59.0,5.61,5.68,3.5,7.724
95,0.41,Ideal,J,VS2,61.7,55.0,4.8,4.82,2.97,6.418
96,0.32,Ideal,G,VS1,62.3,56.0,4.39,4.37,2.73,6.719
97,1.52,Fair,I,SI2,64.7,58.0,7.19,7.22,4.66,8.84
