,id,carat,depth,table,x,y,z,price,cut_score,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0,0,1.01,62.7,58.0,6.36,6.31,3.97,8.754,4,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,0.6,64.3,57.0,5.31,5.38,3.43,7.492,2,0,0,1,0,0,0,0,0,0,0,1,0,0
2,2,1.6,59.4,59.0,7.55,7.6,4.5,9.01,4,0,0,0,1,0,0,0,0,1,0,0,0,0
3,3,0.3,63.5,58.0,4.27,4.24,2.7,6.227,3,0,0,0,0,0,1,0,0,0,1,0,0,0
4,4,1.0,62.8,57.0,6.37,6.44,4.02,8.314,3,0,1,0,0,0,0,0,0,1,0,0,0,0
5,5,0.53,61.9,55.0,5.19,5.22,3.22,7.451,5,1,0,0,0,0,0,0,0,0,0,1,0,0
6,6,0.31,61.9,53.0,4.36,4.39,2.71,6.792,5,0,0,1,0,0,0,1,0,0,0,0,0,0
7,7,1.0,60.3,58.0,6.49,6.44,3.9,8.24,4,0,0,0,0,0,1,0,0,0,0,1,0,0
8,8,1.01,59.9,59.0,6.52,6.57,3.92,8.828,3,0,1,0,0,0,0,0,0,0,1,0,0,0
9,9,1.22,60.8,57.0,6.85,6.89,4.18,8.613,5,0,0,0,0,0,1,0,0,0,1,0,0,0
10,10,0.39,61.7,57.0,4.77,4.7,2.92,6.528,3,0,0,1,0,0,0,0,1,0,0,0,0,0
11,11,1.64,57.9,61.0,7.78,7.74,4.49,9.22,2,0,0,0,0,1,0,0,1,0,0,0,0,0
12,12,0.7,62.1,59.0,5.68,5.72,3.54,7.694,4,0,1,0,0,0,0,0,1,0,0,0,0,0
13,13,0.36,61.8,54.0,4.59,4.61,2.84,6.677,5,0,0,1,0,0,0,0,0,0,0,0,0,1
14,14,1.19,62.2,58.0,6.73,6.77,4.2,8.472,4,0,0,0,0,1,0,0,1,0,0,0,0,0
15,15,0.56,59.2,56.0,5.49,5.39,3.22,7.822,4,1,0,0,0,0,0,0,0,0,0,0,0,1
16,16,0.56,61.2,56.0,5.29,5.33,3.25,7.365,5,0,0,1,0,0,0,0,0,0,0,1,0,0
17,17,0.77,63.3,57.0,5.79,5.83,3.68,7.982,3,0,0,0,1,0,0,0,0,0,1,0,0,0
18,18,1.21,62.2,60.0,6.79,6.75,4.21,8.937,4,0,0,1,0,0,0,0,0,0,0,1,0,0
19,19,0.71,63.3,55.0,5.62,5.66,3.57,7.54,2,0,0,0,0,0,1,0,0,0,1,0,0,0
20,20,0.9,63.0,57.0,6.13,6.19,3.88,8.211,3,0,0,1,0,0,0,0,1,0,0,0,0,0
21,21,1.05,62.5,56.0,6.48,6.52,4.06,9.088,5,0,0,1,0,0,0,1,0,0,0,0,0,0
22,22,0.4,60.5,61.0,4.74,4.72,2.86,7.026,4,1,0,0,0,0,0,0,0,0,1,0,0,0
23,23,0.31,62.2,57.0,4.37,4.34,2.71,6.548,4,0,0,0,0,1,0,0,0,0,0,0,0,1
24,24,1.0,63.0,60.0,6.38,6.32,4.0,8.867,4,1,0,0,0,0,0,0,0,0,1,0,0,0
25,25,2.01,63.4,57.0,8.0,7.93,5.05,9.687,3,0,0,0,1,0,0,0,0,1,0,0,0,0
26,26,1.68,61.9,56.0,7.63,7.72,4.75,9.501,5,0,0,0,1,0,0,0,1,0,0,0,0,0
27,27,0.27,61.6,57.0,4.18,4.21,2.58,6.339,5,0,0,1,0,0,0,1,0,0,0,0,0,0
28,28,0.25,62.2,58.0,4.03,4.11,2.53,6.306,3,1,0,0,0,0,0,0,0,0,0,0,0,1
29,29,0.56,61.9,55.0,5.28,5.32,3.28,7.365,5,0,0,1,0,0,0,0,0,0,0,1,0,0
30,30,0.4,62.2,54.3,4.73,4.75,2.95,6.489,5,0,0,0,0,0,1,0,0,0,1,0,0,0
31,31,0.57,62.1,54.6,5.31,5.35,3.31,7.801,5,1,0,0,0,0,0,0,0,0,0,0,0,1
32,32,0.84,63.4,55.0,6.0,5.95,3.79,7.942,3,1,0,0,0,0,0,0,1,0,0,0,0,0
33,33,0.77,62.8,58.0,5.75,5.78,3.62,7.993,3,0,0,0,1,0,0,0,0,0,1,0,0,0
34,34,0.33,59.7,58.0,4.52,4.49,2.69,6.958,4,1,0,0,0,0,0,0,0,0,0,0,1,0
35,35,1.52,62.4,55.0,7.39,7.3,4.58,9.687,5,0,0,1,0,0,0,0,0,0,0,0,1,0
36,36,0.3,60.0,60.0,4.3,4.33,2.59,6.405,4,0,0,1,0,0,0,0,0,0,1,0,0,0
37,37,2.13,59.8,58.0,8.43,8.37,5.02,9.471,4,0,0,0,0,1,0,0,0,1,0,0,0,0
38,38,1.5,64.9,57.0,7.08,7.15,4.62,9.001,2,0,0,0,1,0,0,0,1,0,0,0,0,0
39,39,0.41,62.9,59.0,4.75,4.7,2.97,6.967,4,0,0,1,0,0,0,0,0,0,0,1,0,0
40,40,1.02,63.4,56.0,6.36,6.42,4.05,8.17,2,0,0,0,0,0,1,0,0,1,0,0,0,0
41,41,0.38,60.0,57.0,4.75,4.79,2.86,6.882,3,0,0,0,1,0,0,0,0,0,0,0,1,0
42,42,0.7,60.7,55.0,5.76,5.8,3.51,7.917,5,0,0,1,0,0,0,0,1,0,0,0,0,0
43,43,0.91,62.1,57.0,6.2,6.23,3.86,8.27,5,0,0,0,0,1,0,0,0,0,1,0,0,0
44,44,0.37,58.4,59.0,4.76,4.69,2.76,6.488,3,0,0,1,0,0,0,0,0,0,1,0,0,0
45,45,2.28,63.6,57.0,8.37,8.32,5.31,9.113,2,0,0,0,0,0,1,0,0,1,0,0,0,0
46,46,1.01,60.7,58.0,6.49,6.52,3.95,8.844,4,0,0,1,0,0,0,0,0,0,1,0,0,0
47,47,2.56,61.4,58.0,8.73,8.76,5.37,9.784,5,0,0,0,0,0,1,0,1,0,0,0,0,0
48,48,0.3,62.6,59.0,4.27,4.23,2.66,6.564,4,0,0,0,0,0,0,0,1,0,0,0,0,0
49,49,0.33,60.8,57.0,4.5,4.51,2.74,6.524,3,0,0,1,0,0,0,0,0,0,1,0,0,0
50,50,2.03,62.7,59.0,8.02,8.08,5.05,9.415,4,0,0,0,0,0,1,0,0,1,0,0,0,0
51,51,0.3,63.0,58.0,4.27,4.24,2.68,6.564,4,0,0,0,0,0,0,0,1,0,0,0,0,0
52,52,0.5,60.5,56.0,5.15,5.09,3.1,7.701,5,0,1,0,0,0,0,0,0,0,0,0,0,1
53,53,0.7,60.7,58.0,5.7,5.73,3.47,7.637,3,0,0,1,0,0,0,0,1,0,0,0,0,0
54,54,0.5,61.5,56.0,5.11,5.14,3.15,7.652,5,0,0,1,0,0,0,1,0,0,0,0,0,0
55,55,0.31,61.8,56.0,4.34,4.36,2.69,6.522,5,1,0,0,0,0,0,0,0,0,0,1,0,0
56,56,0.4,62.6,58.0,4.66,4.73,2.94,6.693,4,0,0,0,1,0,0,0,0,0,1,0,0,0
57,57,0.5,57.9,62.0,5.18,5.21,3.01,7.043,2,0,1,0,0,0,0,0,1,0,0,0,0,0
58,58,2.01,61.5,62.0,8.07,7.94,4.92,9.647,4,0,0,0,0,1,0,0,0,0,1,0,0,0
59,59,1.12,58.4,58.0,6.87,6.84,4.0,8.901,4,0,0,1,0,0,0,0,0,0,1,0,0,0
60,60,1.01,60.4,59.0,6.49,6.45,3.91,9.13,4,0,1,0,0,0,0,0,0,0,0,0,0,1
61,61,1.12,61.9,56.0,6.65,6.68,4.13,9.181,5,1,0,0,0,0,0,0,0,0,0,1,0,0
62,62,1.03,61.6,55.0,6.49,6.53,4.01,8.666,5,0,0,0,0,0,0,0,1,0,0,0,0,0
63,63,0.3,61.0,57.0,4.31,4.34,2.64,6.76,5,0,0,1,0,0,0,1,0,0,0,0,0,0
64,64,0.31,62.1,55.0,4.34,4.35,2.7,6.887,5,0,1,0,0,0,0,1,0,0,0,0,0,0
65,65,0.51,61.9,57.0,5.09,5.15,3.17,7.488,5,0,0,0,0,0,0,0,0,0,0,1,0,0
66,66,1.09,61.4,58.0,6.6,6.65,4.07,9.256,3,0,1,0,0,0,0,0,0,0,0,0,1,0
67,67,0.8,61.2,58.0,5.99,6.03,3.68,8.22,5,0,1,0,0,0,0,0,0,0,0,1,0,0
68,68,1.52,59.8,60.0,7.5,7.42,4.46,9.271,4,0,0,0,0,0,0,0,0,1,0,0,0,0
69,69,1.04,64.2,56.0,6.39,6.36,4.09,8.371,2,0,1,0,0,0,0,0,0,1,0,0,0,0
70,70,1.02,60.5,63.0,6.48,6.54,3.94,8.479,3,1,0,0,0,0,0,0,1,0,0,0,0,0
71,71,0.4,61.5,56.0,4.75,4.78,2.93,6.639,5,0,1,0,0,0,0,0,0,1,0,0,0,0
72,72,0.92,59.4,60.0,6.34,6.31,3.76,8.273,4,0,0,1,0,0,0,0,0,1,0,0,0,0
73,73,1.01,62.9,59.0,6.29,6.37,3.98,8.31,3,0,0,0,0,0,0,0,0,1,0,0,0,0
74,74,0.35,62.2,56.0,4.55,4.52,2.82,6.506,5,0,0,0,0,0,0,0,0,1,0,0,0,0
75,75,1.0,62.3,56.0,6.29,6.4,3.95,8.924,3,0,0,1,0,0,0,0,0,0,0,0,1,0
76,76,1.01,59.2,58.0,6.58,6.56,3.89,8.137,4,0,0,0,1,0,0,0,1,0,0,0,0,0
77,77,1.12,61.6,55.0,6.68,6.74,4.13,9.192,5,0,0,1,0,0,0,0,0,0,0,0,0,1
78,78,0.9,62.2,60.0,6.14,6.17,3.83,8.307,3,1,0,0,0,0,0,0,1,0,0,0,0,0
79,79,1.0,58.4,63.0,6.58,6.47,3.81,8.703,3,0,1,0,0,0,0,0,0,0,1,0,0,0
80,80,0.51,63.1,58.0,5.07,5.11,3.21,7.536,2,0,0,1,0,0,0,0,0,0,0,0,0,1
81,81,0.32,61.9,54.0,4.39,4.43,2.73,6.304,5,0,0,0,1,0,0,0,1,0,0,0,0,0
